9.00

#################################################################################################################################################
#																																				#
#  The table below is used to look up what happens to a material when it collides with another													#
#  To see what happens to a material we look up its row and then cross reference with the column of												#
#  the material it has collided with the resulting index is used in the list of infos below this table											#
#  to find out what to do to the material																										#
#																																				#
#################################################################################################################################################
#																																				#
#						PUNCH_KICK				PISTOL_SMALL			SHOTGUN				ROCKET						LASER					#
#						    MELEE_WOOD				PISTOL_LARGE			RIFLE_ASSAULT  	    GRENADE						STUNGUN				#
#								MELEE_METAL				PISTOL_SILENCED			RIFLE_SNIPER		MOLOTOV						HEAVY_MG		#
#									MELEE_SHARP				RUBBER    	    		   					FIRE						VEHICLE_MG	#
#										MELEE_GENERIC			SMG											EXPLOSION					SPARE0  #
#																																				#
#################################################################################################################################################

WEAPONFX_TABLE_START

VOID					0   0	0   0	0		0   0   0   0	0		0   0   0   		000   0   0   0 000	    	0	0   0	0	0
GENERIC					0   000 000 000 000		000 000 000 000 000		000 000 000			000 000 000 000	000	    	0	000 000	000	0
																																	
CONCRETE				0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
CONCRETE_DUSTY			0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
TARMAC					0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
TARMAC_BRITTLE			0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000	    	0	000 000	000	0
STONE					0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
BRICK					0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
MARBLE					0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
PAVING					0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
SANDSTONE				0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
SANDSTONE_BRITTLE		0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
																																	
SAND_LOOSE				0   0   0   0   0   	000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
SAND_COMPACT			0   0   0   0   0   	000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
SAND_WET				0   0   0   0   0   	000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
SAND_UNDERWATER			0   0   0   0   0   	000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
SAND_DEEP				0   0   0   0   0   	000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
SAND_WET_DEEP			0   0   0   0   0   	000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
ICE						0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
SNOW_LOOSE				0   000 000 000 000 	000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
SNOW_COMPACT			0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
GRAVEL					0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
GRAVEL_DEEP				0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
DIRT_DRY				0   0   0   0   0   	000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
MUD_SOFT				0   0   0   0   0   	000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
MUD_DEEP				0   0   0   0   0   	000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
MUD_UNDERWATER			0   0   0   0   0   	000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
CLAY					0   0   0   0   0   	000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
																																	
GRASS					0   0	0   0	0		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
GRASS_SHORT				0   0	0   0	0		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
HAY						0   0	0   0	0		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
BUSHES					0   000 000 000 000		000 000 000 000 000 	000 000 000 		000 000 000 000 000 	    0	000 000	000	0
TREE_BARK				0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
LEAVES					0   000 000 000 000 	000 000 000 000 000 	000 000 000 		000 000 000 000	000			0	000 000	000	0
																																	
METAL					0   000 000 000 000 	000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
																																	
WOOD					0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
WOOD_DUSTY				0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
WOOD_SPLINTER			0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
																																	
CERAMIC					0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
CARPET_FABRIC			0   0   0   0   0		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
CARPET_FABRIC_DUSTY		0   0   0   0   0		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
PLASTIC					0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
PLASTIC_HOLLOW			0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
RUBBER					0   0   0   0   0		000 000 000 000	000 	000 000 000 		000 000 000 000	000 	    0	000 000	000	0
LINOLEUM				0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
PLASTER_BRITTLE			0   000 000 000 000		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
CARDBOARD				0   0   0   0   0		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
PAPER					0   0   0   0	0		000 000 000 000	000		000 000 000			000 000 000 000	000 	    0	000 000	000	0
FOAM					0   0   0   0	0		000 000 000 000	000		000 000 000			000 000 000 000	000			0	000 000	000	0
